,K2_value,Initial_population_list,optimum_C_value
669,6.25,4750,0.1
670,6.5,4750,0.1
671,6.75,4750,0.0
672,7.0,4750,0.0
673,7.25,4750,0.0
674,7.5,4750,0.0
675,7.75,4750,0.0
676,8.0,4750,0.0
677,8.25,4750,0.0
678,8.5,4750,0.0
679,8.75,4750,0.0
680,9.0,4750,0.0
681,9.25,4750,0.0
682,9.5,4750,0.0
683,9.75,4750,0.0
684,0.5,5000,1.85
685,0.75,5000,1.2
686,1.0,5000,0.9
687,1.25,5000,0.7
688,1.5,5000,0.6
689,1.75,5000,0.5
690,2.0,5000,0.4
691,2.25,5000,0.3
692,2.5,5000,0.3
693,2.75,5000,0.3
694,3.0,5000,0.2
695,3.25,5000,0.2
696,3.5,5000,0.2
697,3.75,5000,0.2
698,4.0,5000,0.1
699,4.25,5000,0.1
700,4.5,5000,0.1
701,4.75,5000,0.1
702,5.0,5000,0.1
703,5.25,5000,0.1
704,5.5,5000,0.1
705,5.75,5000,0.1
706,6.0,5000,0.1
707,6.25,5000,0.1
708,6.5,5000,0.1
709,6.75,5000,0.0
710,7.0,5000,0.0
711,7.25,5000,0.0
712,7.5,5000,0.0
713,7.75,5000,0.0
714,8.0,5000,0.0
715,8.25,5000,0.0
716,8.5,5000,0.0
717,8.75,5000,0.0
718,9.0,5000,0.0
719,9.25,5000,0.0
720,9.5,5000,0.0
721,9.75,5000,0.0
722,0.5,5250,1.85
723,0.75,5250,1.2
724,1.0,5250,0.9
725,1.25,5250,0.7
726,1.5,5250,0.6
727,1.75,5250,0.5
728,2.0,5250,0.4
729,2.25,5250,0.3
730,2.5,5250,0.3
731,2.75,5250,0.3
732,3.0,5250,0.2
733,3.25,5250,0.2
734,3.5,5250,0.2
735,3.75,5250,0.2
736,4.0,5250,0.1
737,4.25,5250,0.1
738,4.5,5250,0.1
739,4.75,5250,0.05
740,5.0,5250,0.05
741,5.25,5250,0.1
742,5.5,5250,0.05
743,5.75,5250,0.1
744,6.0,5250,0.1
745,6.25,5250,0.1
746,6.5,5250,0.1
747,6.75,5250,0.0
748,7.0,5250,0.0
749,7.25,5250,0.0
750,7.5,5250,0.0
751,7.75,5250,0.0
752,8.0,5250,0.0
753,8.25,5250,0.0
754,8.5,5250,0.0
755,8.75,5250,0.0
756,9.0,5250,0.0
757,9.25,5250,0.0
758,9.5,5250,0.0
759,9.75,5250,0.0
760,0.5,5500,1.85
761,0.75,5500,1.2
762,1.0,5500,0.9
763,1.25,5500,0.7
764,1.5,5500,0.6
765,1.75,5500,0.5
766,2.0,5500,0.4
767,2.25,5500,0.3
768,2.5,5500,0.3
769,2.75,5500,0.3
770,3.0,5500,0.2
771,3.25,5500,0.2
772,3.5,5500,0.2
773,3.75,5500,0.2
774,4.0,5500,0.1
775,4.25,5500,0.1
776,4.5,5500,0.1
777,4.75,5500,0.1
778,5.0,5500,0.1
779,5.25,5500,0.1
780,5.5,5500,0.1
