,K2_value,Initial_population_list,number_of_generations_range,optimum_C_value
620,3.0,4000,9,0.15
621,3.5,4000,1,0.2
622,3.5,4000,2,0.2
623,3.5,4000,3,0.2
624,3.5,4000,4,0.2
625,3.5,4000,5,0.15
626,3.5,4000,6,0.15
627,3.5,4000,7,0.15
628,3.5,4000,8,0.15
629,3.5,4000,9,0.1
630,4.0,4000,1,0.1
631,4.0,4000,2,0.15
632,4.0,4000,3,0.15
633,4.0,4000,4,0.15
634,4.0,4000,5,0.15
635,4.0,4000,6,0.15
636,4.0,4000,7,0.1
637,4.0,4000,8,0.1
638,4.0,4000,9,0.1
639,4.5,4000,1,0.1
640,4.5,4000,2,0.15
641,4.5,4000,3,0.15
642,4.5,4000,4,0.15
643,4.5,4000,5,0.15
644,4.5,4000,6,0.1
645,4.5,4000,7,0.1
646,4.5,4000,8,0.1
647,4.5,4000,9,0.1
648,0.5,4500,1,1.85
649,0.5,4500,2,1.8
650,0.5,4500,3,1.65
651,0.5,4500,4,1.55
652,0.5,4500,5,1.45
653,0.5,4500,6,1.4
654,0.5,4500,7,1.35
655,0.5,4500,8,1.3
656,0.5,4500,9,1.25
657,1.0,4500,1,0.85
658,1.0,4500,2,0.85
659,1.0,4500,3,0.75
660,1.0,4500,4,0.7
661,1.0,4500,5,0.65
662,1.0,4500,6,0.6
663,1.0,4500,7,0.55
664,1.0,4500,8,0.55
665,1.0,4500,9,0.5
666,1.5,4500,1,0.55
667,1.5,4500,2,0.6
668,1.5,4500,3,0.5
669,1.5,4500,4,0.45
670,1.5,4500,5,0.4
671,1.5,4500,6,0.4
672,1.5,4500,7,0.35
673,1.5,4500,8,0.35
674,1.5,4500,9,0.3
675,2.0,4500,1,0.4
676,2.0,4500,2,0.4
677,2.0,4500,3,0.35
678,2.0,4500,4,0.35
679,2.0,4500,5,0.3
680,2.0,4500,6,0.25
681,2.0,4500,7,0.25
682,2.0,4500,8,0.25
683,2.0,4500,9,0.2
684,2.5,4500,1,0.3
685,2.5,4500,2,0.35
686,2.5,4500,3,0.3
687,2.5,4500,4,0.25
688,2.5,4500,5,0.25
689,2.5,4500,6,0.2
690,2.5,4500,7,0.2
691,2.5,4500,8,0.2
692,2.5,4500,9,0.15
693,3.0,4500,1,0.2
694,3.0,4500,2,0.25
695,3.0,4500,3,0.25
696,3.0,4500,4,0.2
697,3.0,4500,5,0.2
698,3.0,4500,6,0.2
699,3.0,4500,7,0.15
700,3.0,4500,8,0.15
701,3.0,4500,9,0.15
702,3.5,4500,1,0.2
703,3.5,4500,2,0.2
704,3.5,4500,3,0.2
705,3.5,4500,4,0.2
706,3.5,4500,5,0.15
707,3.5,4500,6,0.15
708,3.5,4500,7,0.15
709,3.5,4500,8,0.15
710,3.5,4500,9,0.1
711,4.0,4500,1,0.1
712,4.0,4500,2,0.15
713,4.0,4500,3,0.15
714,4.0,4500,4,0.15
715,4.0,4500,5,0.15
716,4.0,4500,6,0.15
717,4.0,4500,7,0.1
718,4.0,4500,8,0.1
719,4.0,4500,9,0.1
720,4.5,4500,1,0.1
721,4.5,4500,2,0.15
722,4.5,4500,3,0.15
723,4.5,4500,4,0.15
724,4.5,4500,5,0.15
725,4.5,4500,6,0.1
726,4.5,4500,7,0.1
727,4.5,4500,8,0.1
728,4.5,4500,9,0.1
